Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
53,Düsseldorf,de GER,10,34,13,5,16,49,65,-16,44,1.29,47.1,62.4,-15.3,-0.45,43869,Dodi Lukebakio Benito Raman - 10,Michael Rensing
54,Nantes,fr FRA,12,38,13,9,16,48,48,0,48,1.26,49.1,47.0,+2.1,+0.05,25185,Emiliano Sala - 12,Ciprian Tătărușanu
55,Hertha BSC,de GER,11,34,11,10,13,49,57,-8,43,1.26,51.0,61.4,-10.5,-0.31,49258,Ondrej Duda - 11,Rune Jarstein
56,Mainz 05,de GER,12,34,12,7,15,46,57,-11,43,1.26,51.2,59.2,-8.0,-0.24,26246,Jean-Philippe Mateta - 14,Florian Müller
57,Eibar,es ESP,12,38,11,14,13,46,50,-4,47,1.24,54.8,45.9,+9.0,+0.24,4896,Charles - 14,Marko Dmitrović
58,Angers,fr FRA,13,38,10,16,12,44,49,-5,46,1.21,50.7,47.9,+2.8,+0.07,11189,Stéphane Bahoken - 11,Ludovic Butelle
59,Leganés,es ESP,13,38,11,12,15,37,43,-6,45,1.18,40.6,41.2,-0.6,-0.02,10416,Youssef En-Nesyri - 9,Iván Cuéllar
60,Newcastle Utd,eng ENG,13,38,12,9,17,42,48,-6,45,1.18,39.1,53.6,-14.5,-0.38,51121,Ayoze Pérez - 12,Martin Dúbravka
61,Bournemouth,eng ENG,14,38,13,6,19,56,70,-14,45,1.18,53.3,57.2,-3.9,-0.10,10532,Callum Wilson - 14,Asmir Begović
62,Villarreal,es ESP,14,38,10,14,14,49,52,-3,44,1.16,53.9,55.0,-1.1,-0.03,16732,Karl Toko Ekambi - 10,Sergio Asenjo
63,Levante,es ESP,15,38,11,11,16,59,66,-7,44,1.16,53.9,76.2,-22.3,-0.59,20216,Roger Martí - 13,Oier Olazábal
64,Bologna,it ITA,10,38,11,11,16,48,56,-8,44,1.16,46.8,49.0,-2.2,-0.06,21237,Federico Santander Riccardo Orsolini - 8,Łukasz Skorupski
